MES_REF;situacao_mercado_trabalho;populacao_estimada
2020-09;Ocupado - trabalhou;79438981.0
2020-09;Fora da forca de trabalho;69935065.0
2020-09;Nao se aplica;40861882.0
2020-09;Desocupado;12612603.0
2020-09;Ocupado - afastado;8543921.0
2020-10;Ocupado - trabalhou;81376565.0
2020-10;Fora da forca de trabalho;68973074.0
2020-10;Nao se aplica;40921520.0
2020-10;Desocupado;12941646.0
2020-10;Ocupado - afastado;7309743.0
2020-11;Ocupado - trabalhou;82147356.0
2020-11;Fora da forca de trabalho;68522980.0
2020-11;Nao se aplica;40910838.0
2020-11;Desocupado;13269585.0
2020-11;Ocupado - afastado;6801610.0
