MES_REF;regiao;pct_sintomas;pct_dificuldade_respirar;pct_home_office;pct_auxilio_emergencial
2020-09;Norte;3.3;0.65;1.57;64.83
2020-09;Centro-Oeste;3.3;0.93;3.86;45.86
2020-09;Sul;2.85;0.63;4.57;32.97
2020-09;Sudeste;2.42;0.57;6.14;40.06
2020-09;Nordeste;2.38;0.35;2.57;63.14
2020-10;Norte;3.15;0.57;1.55;63.39
2020-10;Centro-Oeste;2.67;0.55;3.76;44.62
2020-10;Sul;2.36;0.45;4.19;31.98
2020-10;Nordeste;2.1;0.38;2.42;60.97
2020-10;Sudeste;2.01;0.5;5.79;38.8
2020-11;Sul;2.85;0.63;4.11;30.16
2020-11;Norte;2.68;0.48;1.51;61.79
2020-11;Centro-Oeste;2.46;0.46;3.5;43.11
2020-11;Sudeste;2.4;0.53;5.54;37.8
2020-11;Nordeste;2.18;0.36;2.37;59.35
