mes_ref,variavel,descricao,pct_ponderado,grupo
2020-09,restricao_contato_pessoas_pandemia,Ficou rigorosamente em casa,16.320849665987144,protecao
2020-09,buscou_atendimento_saude_geral,Buscou atendimento (geral),1.0716081684537813,atendimento
2020-09,buscou_atendimento_saude_sintomaticos,Buscou atendimento (sintomáticos),1.3521491333201403,atendimento
2020-09,fez_home_office,Home office (entre ocupados),10.163035653882037,trabalho
2020-10,restricao_contato_pessoas_pandemia,Ficou rigorosamente em casa,12.423407414088151,protecao
2020-10,buscou_atendimento_saude_geral,Buscou atendimento (geral),1.0023163053451205,atendimento
2020-10,buscou_atendimento_saude_sintomaticos,Buscou atendimento (sintomáticos),1.1956071206407148,atendimento
2020-10,fez_home_office,Home office (entre ocupados),9.33435260632681,trabalho
2020-11,restricao_contato_pessoas_pandemia,Ficou rigorosamente em casa,11.103496033314036,protecao
2020-11,buscou_atendimento_saude_geral,Buscou atendimento (geral),1.1017590869906513,atendimento
2020-11,buscou_atendimento_saude_sintomaticos,Buscou atendimento (sintomáticos),1.357377639088,atendimento
2020-11,fez_home_office,Home office (entre ocupados),8.923090538976425,trabalho
TOTAL,restricao_contato_pessoas_pandemia,Ficou rigorosamente em casa,13.281515672171155,protecao
TOTAL,buscou_atendimento_saude_geral,Buscou atendimento (geral),1.0585673494988366,atendimento
TOTAL,buscou_atendimento_saude_sintomaticos,Buscou atendimento (sintomáticos),1.3071121560527448,atendimento
TOTAL,fez_home_office,Home office (entre ocupados),9.466247825936291,trabalho
TOTAL,situacao_mercado_trabalho,Ocupado - trabalhou,47.46545340997216,mercado_trabalho
TOTAL,situacao_mercado_trabalho,Fora da forca de trabalho,40.52393212715307,mercado_trabalho
TOTAL,situacao_mercado_trabalho,Desocupado,7.584659467417165,mercado_trabalho
TOTAL,situacao_mercado_trabalho,Ocupado - afastado,4.425954995457607,mercado_trabalho
