mes_ref,variavel,descricao,pct_ponderado,valor_medio_ponderado,grupo
2020-09,recebeu_auxilio_emergencial,Recebeu Auxílio Emergencial,50.26718231129005,,beneficio
2020-09,recebeu_bolsa_familia,Recebeu Bolsa Família,4.734762646246351,,beneficio
2020-09,recebeu_seguro_desemprego,Recebeu Seguro Desemprego,3.13323767008995,,beneficio
2020-09,valor_auxilio_emergencial,Valor médio Auxílio Emergencial,,935.9816993368102,renda
2020-09,ind_tem_renda_efetiva,Sem renda efetiva no mês,62.64569267283462,,renda
2020-10,recebeu_auxilio_emergencial,Recebeu Auxílio Emergencial,48.65100554278267,,beneficio
2020-10,recebeu_bolsa_familia,Recebeu Bolsa Família,7.980705358688351,,beneficio
2020-10,recebeu_seguro_desemprego,Recebeu Seguro Desemprego,3.1857440283406477,,beneficio
2020-10,valor_auxilio_emergencial,Valor médio Auxílio Emergencial,,708.3763316523203,renda
2020-10,ind_tem_renda_efetiva,Sem renda efetiva no mês,61.91026218264367,,renda
2020-11,recebeu_auxilio_emergencial,Recebeu Auxílio Emergencial,47.233554222240365,,beneficio
2020-11,recebeu_bolsa_familia,Recebeu Bolsa Família,8.968423572429574,,beneficio
2020-11,recebeu_seguro_desemprego,Recebeu Seguro Desemprego,3.1696474654147413,,beneficio
2020-11,valor_auxilio_emergencial,Valor médio Auxílio Emergencial,,574.9818689095507,renda
2020-11,ind_tem_renda_efetiva,Sem renda efetiva no mês,61.55452626591653,,renda
TOTAL,recebeu_auxilio_emergencial,Recebeu Auxílio Emergencial,48.71662605912604,,beneficio
TOTAL,recebeu_bolsa_familia,Recebeu Bolsa Família,7.22883107511486,,beneficio
TOTAL,recebeu_seguro_desemprego,Recebeu Seguro Desemprego,3.162883849660778,,beneficio
TOTAL,valor_auxilio_emergencial,Valor médio Auxílio Emergencial,,743.4737559416318,renda
TOTAL,ind_tem_renda_efetiva,Sem renda efetiva no mês,62.03660354254299,,renda
TOTAL,renda_efetiva_trabalho_principal,Mediana renda efetiva,,1400.0,renda
TOTAL,renda_efetiva_trabalho_principal,Média renda efetiva,,2224.0550862925174,renda
TOTAL,sobreposicao_bf_ae,Nenhum,50.01664206728219,,sobreposicao
TOTAL,sobreposicao_bf_ae,Só AE,42.75452685760279,,sobreposicao
TOTAL,sobreposicao_bf_ae,AE + BF,5.9620992015243655,,sobreposicao
TOTAL,sobreposicao_bf_ae,Só BF,1.266731873590635,,sobreposicao
TOTAL,valor_auxilio_regiao,Auxílio médio - Centro-Oeste,,692.9563025800423,renda_regiao
TOTAL,valor_auxilio_regiao,Auxílio médio - Nordeste,,712.8289525224455,renda_regiao
TOTAL,valor_auxilio_regiao,Auxílio médio - Sul,,732.9061167423973,renda_regiao
TOTAL,valor_auxilio_regiao,Auxílio médio - Sudeste,,733.1147530134205,renda_regiao
TOTAL,valor_auxilio_regiao,Auxílio médio - Norte,,763.5026314282038,renda_regiao
