codigo_variavel,nome_semantico,valor,descricao_valor,parte,meses
A001A,condicao_domicilio,1,Pessoa responsável pelo domicílio,Parte A - Características gerais dos moradores,"092020,102020,112020"
A001A,condicao_domicilio,10,Neto(a),Parte A - Características gerais dos moradores,"092020,102020,112020"
A001A,condicao_domicilio,11,Bisneto(a),Parte A - Características gerais dos moradores,"092020,102020,112020"
A001A,condicao_domicilio,12,Irmão ou irmã,Parte A - Características gerais dos moradores,"092020,102020,112020"
A001A,condicao_domicilio,13,Avô ou avó,Parte A - Características gerais dos moradores,"092020,102020,112020"
A001A,condicao_domicilio,14,Outro parente,Parte A - Características gerais dos moradores,"092020,102020,112020"
A001A,condicao_domicilio,15,Agregado(a) - Não parente que não compartilha despesas,Parte A - Características gerais dos moradores,"092020,102020,112020"
A001A,condicao_domicilio,16,Convivente - Não parente que compartilha despesas,Parte A - Características gerais dos moradores,"092020,102020,112020"
A001A,condicao_domicilio,17,Pensionista,Parte A - Características gerais dos moradores,"092020,102020,112020"
A001A,condicao_domicilio,18,Empregado(a) doméstico(a),Parte A - Características gerais dos moradores,"092020,102020,112020"
A001A,condicao_domicilio,19,Parente do(a) empregado(a) doméstico(a),Parte A - Características gerais dos moradores,"092020,102020,112020"
A001A,condicao_domicilio,2,Cônjuge ou companheiro(a) de sexo diferente,Parte A - Características gerais dos moradores,"092020,102020,112020"
A001A,condicao_domicilio,3,Cônjuge ou companheiro(a) do mesmo sexo,Parte A - Características gerais dos moradores,"092020,102020,112020"
A001A,condicao_domicilio,4,Filho(a) do responsável e do cônjuge,Parte A - Características gerais dos moradores,"092020,102020,112020"
A001A,condicao_domicilio,5,Filho(a) somente do responsável,Parte A - Características gerais dos moradores,"092020,102020,112020"
A001A,condicao_domicilio,6,Filho(a) somente do cônjuge,Parte A - Características gerais dos moradores,"092020,102020,112020"
A001A,condicao_domicilio,7,Genro ou nora,Parte A - Características gerais dos moradores,"092020,102020,112020"
A001A,condicao_domicilio,8,"Pai, mãe, padrasto ou madrasta",Parte A - Características gerais dos moradores,"092020,102020,112020"
A001A,condicao_domicilio,9,Sogro(a),Parte A - Características gerais dos moradores,"092020,102020,112020"
A001B1,dia_nascimento,01 a 31,Dia de nascimento,Parte A - Características gerais dos moradores,"092020,102020,112020"
A001B1,dia_nascimento,99,Não informado,Parte A - Características gerais dos moradores,"092020,102020,112020"
A001B2,mes_nascimento,01 a 12,Mês,Parte A - Características gerais dos moradores,"092020,102020,112020"
A001B2,mes_nascimento,99,Não informado,Parte A - Características gerais dos moradores,"092020,102020,112020"
A001B3,ano_nascimento,Ano de referência menos 130 até ano de referência,Ano,Parte A - Características gerais dos moradores,"092020,102020,112020"
A002,idade,000 a 130,Idade (em anos),Parte A - Características gerais dos moradores,"092020,102020,112020"
A003,sexo,1,Homem,Parte A - Características gerais dos moradores,"092020,102020,112020"
A003,sexo,2,Mulher,Parte A - Características gerais dos moradores,"092020,102020,112020"
A004,cor_raca,1,Branca,Parte A - Características gerais dos moradores,"092020,102020,112020"
A004,cor_raca,2,Preta,Parte A - Características gerais dos moradores,"092020,102020,112020"
A004,cor_raca,3,Amarela,Parte A - Características gerais dos moradores,"092020,102020,112020"
A004,cor_raca,4,Parda,Parte A - Características gerais dos moradores,"092020,102020,112020"
A004,cor_raca,5,Indígena,Parte A - Características gerais dos moradores,"092020,102020,112020"
A004,cor_raca,9,Ignorado,Parte A - Características gerais dos moradores,"092020,102020,112020"
A005,escolaridade,1,Sem instrução,Parte A - Características gerais dos moradores,"092020,102020,112020"
A005,escolaridade,2,Fundamental incompleto,Parte A - Características gerais dos moradores,"092020,102020,112020"
A005,escolaridade,3,Fundamental completa,Parte A - Características gerais dos moradores,"092020,102020,112020"
A005,escolaridade,4,Médio incompleto,Parte A - Características gerais dos moradores,"092020,102020,112020"
A005,escolaridade,5,Médio completo,Parte A - Características gerais dos moradores,"092020,102020,112020"
A005,escolaridade,6,Superior incompleto,Parte A - Características gerais dos moradores,"092020,102020,112020"
A005,escolaridade,7,Superior completo,Parte A - Características gerais dos moradores,"092020,102020,112020"
A005,escolaridade,8,"Pós-graduação, mestrado ou doutorado",Parte A - Características gerais dos moradores,"092020,102020,112020"
A006,tem_plano_saude,,Não aplicável,Parte A - Características gerais dos moradores,"092020,102020,112020"
A006,tem_plano_saude,1,Sim,Parte A - Características gerais dos moradores,"092020,102020,112020"
A006,tem_plano_saude,2,Não,Parte A - Características gerais dos moradores,"092020,102020,112020"
A006A,escola_escola_faculdade_frequenta_publica_privada,,Não aplicável,Parte A - Características gerais dos moradores,112020
A006A,escola_escola_faculdade_frequenta_publica_privada,1,Pública,Parte A - Características gerais dos moradores,112020
A006A,escola_escola_faculdade_frequenta_publica_privada,2,Privada,Parte A - Características gerais dos moradores,112020
A006B,aulas_presenciais,,Não aplicável,Parte A - Características gerais dos moradores,112020
A006B,aulas_presenciais,1,"Sim, normalmente",Parte A - Características gerais dos moradores,112020
A006B,aulas_presenciais,2,"Sim, mas apenas parcialmente",Parte A - Características gerais dos moradores,112020
A006B,aulas_presenciais,3,"Não, e meu normalmente é presencial/semipresencial",Parte A - Características gerais dos moradores,112020
A006B,aulas_presenciais,4,"Não, meu curso é online",Parte A - Características gerais dos moradores,112020
A007,area_urbana_rural,,Não aplicável,Parte A - Características gerais dos moradores,"092020,102020,112020"
A007,area_urbana_rural,1,"Sim, e realizou pelo menos parte delas",Parte A - Características gerais dos moradores,"092020,102020,112020"
A007,area_urbana_rural,2,"Sim, mas não realizou (por qualquer motivo)",Parte A - Características gerais dos moradores,"092020,102020,112020"
A007,area_urbana_rural,3,Não,Parte A - Características gerais dos moradores,"092020,102020,112020"
A007,area_urbana_rural,4,"Não, porque estava de férias",Parte A - Características gerais dos moradores,"092020,102020,112020"
A007A,nao_realizou_atividades_disponibilizadas_semana_passada,,Não aplicável,Parte A - Características gerais dos moradores,112020
A007A,nao_realizou_atividades_disponibilizadas_semana_passada,1,Não tinha computador / tablet / celular disponível,Parte A - Características gerais dos moradores,112020
A007A,nao_realizou_atividades_disponibilizadas_semana_passada,2,Não tinha acesso à internet ou a qualidade dela era insuficiente,Parte A - Características gerais dos moradores,112020
A007A,nao_realizou_atividades_disponibilizadas_semana_passada,3,Por problemas de saúde da própria pessoa,Parte A - Características gerais dos moradores,112020
A007A,nao_realizou_atividades_disponibilizadas_semana_passada,4,"Tinha que cuidar dos afazeres domésticos, do(s) filhos ou de outro(s) parentes",Parte A - Características gerais dos moradores,112020
A007A,nao_realizou_atividades_disponibilizadas_semana_passada,5,Não conseguiu se concentrar,Parte A - Características gerais dos moradores,112020
A007A,nao_realizou_atividades_disponibilizadas_semana_passada,6,Outro motivo. Especifique.,Parte A - Características gerais dos moradores,112020
A008,semana_passada_quantos_dias_dedicou_atividades_escolares,,Não aplicável,Parte A - Características gerais dos moradores,"092020,102020,112020"
A008,semana_passada_quantos_dias_dedicou_atividades_escolares,1,1 dia,Parte A - Características gerais dos moradores,"092020,102020,112020"
A008,semana_passada_quantos_dias_dedicou_atividades_escolares,2,2 dias,Parte A - Características gerais dos moradores,"092020,102020,112020"
A008,semana_passada_quantos_dias_dedicou_atividades_escolares,3,3 dias,Parte A - Características gerais dos moradores,"092020,102020,112020"
A008,semana_passada_quantos_dias_dedicou_atividades_escolares,4,4 dias,Parte A - Características gerais dos moradores,"092020,102020,112020"
A008,semana_passada_quantos_dias_dedicou_atividades_escolares,5,5 dias,Parte A - Características gerais dos moradores,"092020,102020,112020"
