codigo_variavel,nome_semantico,descricao_variavel,bloco,tipo,dominio,tamanho,quesito,parte,meses
B002,buscou_atendimento_saude,"Por causa disso, foi a algum estabelecimento de saúde?",comportamento,integer,,1,B2,Parte B - COVID19 - Todos os moradores,"092020,102020,112020"
B0031,providencia_ficar_em_casa,Providência tomada para recuperar dos sintomas foi ficar em casa,comportamento,integer,,1,B3,Parte B - COVID19 - Todos os moradores,"092020,102020,112020"
B0032,providencia_ligar_profissional_saude,Providência tomada para recuperar dos sintomas foi ligar para algum profissional de saúde,comportamento,integer,,1,B3,Parte B - COVID19 - Todos os moradores,"092020,102020,112020"
B0033,providencia_comprar_remedio_conta_propria,Providência tomada para recuperar dos sintomas foi comprar e/ou tomar remédio por conta própria,comportamento,integer,,1,B3,Parte B - COVID19 - Todos os moradores,"092020,102020,112020"
B0034,providencia_comprar_remedio_orientacao_medica,Providência tomada para recuperar dos sintomas foi comprar e/ou tomar remédio por orientação médica,comportamento,integer,,1,B3,Parte B - COVID19 - Todos os moradores,"092020,102020,112020"
B0035,providencia_visita_profissional_sus,"Providência tomada para recuperar dos sintomas foi receber visita de algum profissional de saúde do SUS (equipe de saúde da família, agente comunitário, etc.)",comportamento,integer,,1,B3,Parte B - COVID19 - Todos os moradores,"092020,102020,112020"
B006,foi_sedado_entubado_internacao,"Durante a internação, foi sedado, entubado e colocado em respiração artificial com ventilador",comportamento,integer,,1,B6,Parte B - COVID19 - Todos os moradores,"092020,102020,112020"
B007,tem_plano_saude_bloco_b,"Tem algum plano de saúde médico, seja particular, de empresa ou de órgão público",comportamento,integer,,1,B7,Parte B - COVID19 - Todos os moradores,"092020,102020,112020"
C001,trabalhou_na_semana,"Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?",comportamento,integer,,1,C1,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C002,estava_afastado_com_vinculo,"Na semana passada, estava temporariamente afastado de algum trabalho?",comportamento,integer,,1,C2,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C003,motivo_afastamento,Qual o principal motivo deste afastamento temporário?,comportamento,integer,,1,C3,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C004,continuou_recebendo_remuneracao,Continuou a ser remunerado (mesmo que parcialmente) por esse trabalho,comportamento,integer,,1,C4,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C014,contribui_inss,O(A) Sr(a) contribui para o INSS?,comportamento,integer,,1,C14,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007C,tipo_trabalho_cargo_funcao,"Que tipo de trabalho, cargo ou função você realiza no seu trabalho (único ou principal)?",economico,integer,,2,C7c,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C008,horas_habituais_trabalhadas,"Quantas horas, por semana, normalmente trabalhava?",economico,integer,,3,C8,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C009,horas_efetivas_trabalhadas,"Quantas horas, na semana passada, de fato trabalhou?",economico,integer,,3,C9,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C010,quanto_recebia_habitualmente,Quanto recebia (ou retirava) normalmente em todos os seus trabalhos,economico,integer,,1,C10,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A,renda_habitual_trabalho_principal,Quanto recebia (ou retirava) efetivamente em todos os seus trabalhos,economico,double,,1,C11A,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A12,renda_efetiva_trabalho_principal,Valor em dinheiro,economico,double,,8,C11A,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
D0011,recebeu_aposentadoria_pensao,Rendimento recebido de aposentadoria e pensão por todos os moradores,economico,integer,,1,D1,Parte D - Rendimento de outras fontes dos moradores de 14 anos ou mais de idade,"092020,102020,112020"
D0013,valor_aposentadoria_pensao,Somatório dos valores recebidos,economico,double,valor em reais,8,D1,Parte D - Rendimento de outras fontes dos moradores de 14 anos ou mais de idade,"092020,102020,112020"
D0031,recebeu_bolsa_familia,Rendimentos de Programa Bolsa Família,economico,integer,,1,D1,Parte D - Rendimento de outras fontes dos moradores de 14 anos ou mais de idade,"092020,102020,112020"
D0033,valor_bolsa_familia,Somatório dos valores recebidos,economico,double,valor em reais,8,D1,Parte D - Rendimento de outras fontes dos moradores de 14 anos ou mais de idade,"092020,102020,112020"
D0041,recebeu_seguro_desemprego,"No mês de ... (mês de referência), ... recebeu rendimentos de Benefício Assistencial de Prestação Continuada – BPC-LOAS?",economico,integer,,1,D1,Parte D - Rendimento de outras fontes dos moradores de 14 anos ou mais de idade,"092020,102020,112020"
D0051,recebeu_auxilio_emergencial,Auxílios emergenciais relacionados ao coronavirus,economico,integer,,1,D1,Parte D - Rendimento de outras fontes dos moradores de 14 anos ou mais de idade,"092020,102020,112020"
D0053,valor_auxilio_emergencial,Somatório dos valores recebidos,economico,double,valor em reais,8,D1,Parte D - Rendimento de outras fontes dos moradores de 14 anos ou mais de idade,"092020,102020,112020"
E001,durante_periodo_pandemia_domicilio_solicitou_emprestimo,Durante o período da pandemia alguém deste domicílio solicitou algum empréstimo?,emprestimos,integer,,1,E1,Parte E - Empréstimos,"092020,102020,112020"
E0021,emprestimo_adquirido_banco_financeira,Este empréstimo foi adquirido com banco ou financeira,emprestimos,integer,,1,E2,Parte E - Empréstimos,"092020,102020,112020"
E0022,emprestimo_adquirido_parente_amigo,Este empréstimo foi adquirido com parente ou amigo,emprestimos,integer,,1,E2,Parte E - Empréstimos,"092020,102020,112020"
E0023,emprestimo_adquirido_empregados_patrao,Este empréstimo foi adquirido com empregados ou patrão,emprestimos,integer,,1,E2,Parte E - Empréstimos,"092020,102020,112020"
E0024,emprestimo_adquirido_local_pessoa,Este empréstimo foi adquirido com outro local ou pessoa,emprestimos,integer,,1,E2,Parte E - Empréstimos,"092020,102020,112020"
F001,domicilio,Este domicílio é:,habitacao,integer,,1,F1,Parte Suplementar 01 - Características da habitação,"092020,102020,112020"
F0021,valor_mensal_aluguel_pago_ter_pago_mes_referencia,"Qual foi o valor mensal do aluguel pago, ou que deveria ter sido pago, no mês de referência?",habitacao,integer,,8,F2,Parte Suplementar 01 - Características da habitação,"092020,102020,112020"
F0022,numero_faixa_aluguel_pago,Número da faixa do aluguel pago,habitacao,integer,,2,F2,Parte Suplementar 01 - Características da habitação,"092020,102020,112020"
F002A1,domicilio_seguintes_itens_basicos_limpeza_protecao_sabao,No seu domicílio há os seguintes itens básicos de limpeza e proteção: sabão ou detergente,habitacao,integer,,1,F2a,Parte Suplementar 01 - Características da habitação,"092020,102020,112020"
F002A2,domicilio_seguintes_itens_basicos_limpeza_protecao_alcool,No seu domicílio há os seguintes itens básicos de limpeza e proteção: álcool 70% ou superior (gel ou líquido),habitacao,integer,,1,F2a,Parte Suplementar 01 - Características da habitação,"092020,102020,112020"
F002A3,domicilio_seguintes_itens_basicos_limpeza_protecao_mascaras,No seu domicílio há os seguintes itens básicos de limpeza e proteção: máscaras,habitacao,integer,,1,F2a,Parte Suplementar 01 - Características da habitação,"092020,102020,112020"
F002A4,domicilio_seguintes_itens_basicos_limpeza_protecao_luvas,No seu domicílio há os seguintes itens básicos de limpeza e proteção: luvas descartáveis,habitacao,integer,,1,F2a,Parte Suplementar 01 - Características da habitação,"092020,102020,112020"
F002A5,domicilio_seguintes_itens_basicos_limpeza_protecao_agua,No seu domicílio há os seguintes itens básicos de limpeza e proteção: água sanitária ou desinfetante,habitacao,integer,,1,F2a,Parte Suplementar 01 - Características da habitação,"092020,102020,112020"
F006,numero_ordem_morador_prestou_informacoes,Número de ordem do morador que prestou as informações,habitacao,integer,,2,F6,Parte Suplementar 01 - Características da habitação,"092020,102020,112020"
F0061,quem_respondeu_questionario,Quem respondeu ao questionário?,habitacao,integer,,2,F61,Parte Suplementar 01 - Características da habitação,"092020,102020,112020"
A001,id_morador,Número de ordem,id,string,01 a 30,2,A1,Parte A - Características gerais dos moradores,"092020,102020,112020"
